numero_concurso,dezenas_sorteadas
729344,89,13 34 42 44 55 59
729351,90,09 21 26 40 52 54
729358,91,02 04 10 35 39 60
729365,92,01 03 05 23 24 51
729372,93,02 22 28 31 36 53
729379,94,08 18 28 51 52 55
729386,95,06 40 45 46 50 60
729393,96,04 07 26 40 42 58
729400,97,05 11 14 35 53 56
729407,98,13 14 31 33 35 43
729414,99,11 24 30 33 46 60
729421,100,14 29 30 46 48 51
729428,101,01 18 29 31 37 39
729435,102,19 20 37 42 44 56
729442,103,01 07 09 49 54 57
729449,104,01 04 13 21 38 52
729456,105,03 13 31 43 46 49
729463,106,05 16 24 35 38 39
729470,107,02 04 16 24 51 52
729477,108,21 24 29 34 59 60
729483,109,01 13 44 48 49 54
729490,110,18 31 43 52 57 58
729497,111,04 22 25 32 33 52
729504,112,12 20 34 37 42 43
729511,113,07 26 28 34 54 55
729518,114,06 12 18 37 47 54
729525,115,04 06 14 20 24 38
729532,116,05 13 32 36 42 51
729539,117,20 25 27 33 42 53
729546,118,09 22 25 37 56 57
729553,119,01 21 36 38 47 50
729560,120,03 16 27 40 45 46
729567,121,02 29 41 44 53 55
729574,122,11 17 20 39 43 53
729581,123,13 14 16 26 32 42
729588,124,05 15 34 41 52 57
729595,125,25 41 47 53 56 59
729602,126,06 10 11 28 32 40
729609,127,21 29 50 51 54 59
729616,128,03 09 18 21 23 43
729623,129,01 09 10 32 46 54
729630,130,13 29 38 42 49 53
729637,131,04 09 17 27 30 44
729644,132,07 09 35 41 44 50
729651,133,05 06 19 34 39 57
729658,134,04 25 32 36 52 60
729665,135,21 22 35 40 53 59
729672,136,01 17 25 38 45 59
729679,137,15 16 19 22 26 49
729686,138,05 14 27 37 40 41
729693,139,03 13 26 27 41 42
729700,140,07 31 41 44 46 55
729707,141,10 13 22 41 42 58
729714,142,08 15 19 20 54 59
729721,143,06 18 20 40 50 53
729728,144,08 32 36 44 45 55
729735,145,15 16 31 41 43 51
729742,146,25 32 34 42 51 60
729747,147,06 16 23 24 28 38
729754,148,32 35 41 55 58 59
729763,149,07 11 20 28 45 48
729770,150,12 44 50 52 54 55
729777,151,03 16 20 43 52 56
729784,152,05 12 15 29 51 58
729791,153,02 30 31 42 45 47
729798,154,08 10 24 33 45 48
729805,155,12 30 32 35 43 44
729812,156,17 23 42 49 52 55
729819,157,04 13 17 21 41 44
729826,158,04 14 17 43 51 58
729833,159,09 11 16 35 50 58
729840,160,02 13 42 52 54 58
729847,161,06 25 30 37 39 41
729854,162,21 23 33 38 48 51
729861,163,08 27 36 41 53 56
729868,164,04 10 14 19 28 44
729875,165,10 19 23 35 39 56
729882,166,12 13 22 57 59 60
729889,167,01 11 28 33 38 48
729896,168,02 09 31 35 45 50
729903,169,01 13 21 37 51 52
729910,170,07 41 46 51 55 58
729917,171,04 27 40 43 46 54
729924,172,10 14 26 35 36 49
729931,173,17 28 29 42 49 50
729938,174,11 22 23 36 52 59
729945,175,01 10 13 20 42 50
729952,176,01 03 04 28 45 53
729959,177,22 35 38 39 41 59
729966,178,05 15 19 26 27 33
729973,179,05 06 23 26 27 53
729980,180,06 23 29 39 51 60
729987,181,01 27 33 35 51 55
729994,182,03 05 10 28 46 60
730001,183,02 07 11 16 40 44
730008,184,09 16 21 34 41 60
730015,185,17 22 43 46 55 59
730022,186,14 23 24 25 26 51
730029,187,06 36 41 44 48 58
730037,188,17 27 34 42 43 46
730043,189,04 15 31 38 41 53
730051,190,05 10 21 32 40 42
730058,191,01 03 05 23 41 58
730064,192,01 26 28 41 54 60
730071,193,04 11 12 19 43 49
730078,194,25 28 32 33 42 43
730085,195,03 09 17 32 37 44
730092,196,07 09 14 17 24 32
730099,197,05 12 15 19 29 52
730106,198,01 08 18 23 35 40
730112,199,10 16 37 50 52 57
730119,200,12 15 19 34 44 51
730127,201,05 20 22 30 35 55
730134,202,12 24 44 45 49 53
730141,203,11 19 29 44 47 55
730148,204,29 31 39 41 51 58
730155,205,26 32 40 43 46 54
730162,206,18 20 26 34 51 56
730169,207,03 07 19 24 53 55
730176,208,15 23 24 25 47 57
730183,209,13 21 26 32 41 52
730190,210,20 32 37 38 48 58
730197,211,10 20 33 40 45 50
730204,212,06 15 29 45 57 59
730211,213,03 09 23 30 32 35
730218,214,06 12 30 31 35 50
730225,215,07 28 37 46 53 58
730232,216,14 18 30 35 42 59
730239,217,03 27 32 45 49 51
730246,218,12 17 40 42 47 54
730253,219,23 26 28 36 42 49
730260,220,13 14 36 53 55 60
730267,221,13 27 43 50 54 58
730274,222,05 19 30 48 52 55
730281,223,02 06 22 24 28 58
730288,224,07 16 18 20 21 44
730295,225,02 04 16 21 37 58
730302,226,01 02 38 49 50 59
730309,227,11 26 27 37 42 48
730316,228,13 16 40 43 45 59
730323,229,11 13 21 33 39 45
730330,230,08 40 41 44 53 56
730337,231,16 27 36 42 44 59
730344,232,19 22 29 37 41 59
730351,233,03 07 24 32 36 45
730358,234,15 25 41 42 45 54
730365,235,02 22 29 31 41 55
730372,236,10 25 50 52 57 60
730379,237,07 31 36 45 56 57
730386,238,09 13 15 37 41 42
730393,239,06 21 33 44 46 47
730400,240,25 28 38 41 57 59
730407,241,11 31 35 40 56 57
730414,242,04 07 21 22 28 56
730421,243,11 16 20 23 32 47
730428,244,19 24 33 47 50 60
730435,245,08 27 44 51 53 60
730442,246,02 16 32 37 43 57
730449,247,03 10 23 30 34 46
730456,248,16 32 34 35 41 56
730463,249,21 36 40 49 54 55
730470,250,07 25 41 42 43 55
730477,251,15 23 30 34 49 55
730484,252,04 17 26 32 51 54
730491,253,11 12 24 37 44 56
730498,254,01 04 21 22 30 56
730505,255,16 19 20 32 44 55
730512,256,02 21 26 32 34 52
730519,257,01 04 05 19 28 34
730526,258,07 12 50 54 55 60
730533,259,13 15 20 33 43 58
730540,260,04 06 33 43 59 60
730547,261,05 16 20 30 54 56
730554,262,11 20 48 53 58 60
730561,263,08 09 26 43 50 53
730568,264,01 05 13 25 31 33
730575,265,07 16 34 41 50 53
730582,266,02 23 38 46 48 54
730589,267,01 08 45 46 55 58
730596,268,05 06 10 21 33 47
730603,269,17 18 19 25 49 52
730610,270,05 09 27 35 40 45
730617,271,14 24 26 29 31 54
730624,272,09 10 24 36 56 58
730631,273,10 17 23 27 47 52
730638,274,11 13 18 26 39 47
730645,275,16 19 30 37 38 48
730652,276,22 39 45 53 57 59
730659,277,04 26 38 40 52 56
730666,278,10 15 18 22 31 55
730673,279,04 23 31 47 58 59
730680,280,05 16 20 25 30 58
730687,281,05 11 31 38 47 53
730694,282,09 14 23 24 33 36
730698,283,25 28 34 42 48 54
730701,284,07 08 14 30 32 36
730705,285,12 32 37 41 50 56
730708,286,29 35 37 44 47 56
730712,287,03 13 25 33 47 60
730715,288,06 09 11 17 18 50
730719,289,06 07 20 25 30 36
730722,290,07 25 26 30 40 57
730726,291,05 16 17 18 22 41
730729,292,13 23 24 34 45 53
730733,293,05 06 07 12 28 35
730736,294,22 25 28 41 45 57
730740,295,07 12 24 31 44 50
730743,296,03 20 42 46 51 52
730747,297,01 20 28 33 36 41
730750,298,05 22 23 24 34 60
730754,299,02 05 07 33 49 53
730757,300,24 27 28 38 41 57
730761,301,09 26 48 49 57 58
730764,302,12 25 30 40 41 60
730768,303,07 13 17 30 37 47
730771,304,07 11 34 41 42 59
730775,305,05 11 27 38 53 60
730778,306,19 30 41 47 56 57
730782,307,13 16 17 26 41 44
730785,308,04 11 25 29 39 55
730789,309,04 11 25 39 50 55
730792,310,02 14 28 29 31 32
730796,311,22 24 30 32 38 41
730799,312,14 23 30 41 47 50
730803,313,14 16 24 37 38 53
730806,314,05 32 34 37 40 58
730810,315,12 21 22 28 43 50
730813,316,06 24 28 43 51 56
730817,317,16 20 27 30 35 48
730820,318,03 19 20 31 40 53
730824,319,12 16 17 19 23 48
730827,320,20 22 27 47 50 53
730831,321,04 11 31 32 48 49
730834,322,11 18 29 44 47 56
730838,323,26 31 33 40 49 54
730841,324,08 15 22 25 30 47
730848,325,01 03 04 21 23 53
730855,326,21 23 40 44 51 52
730859,327,29 32 33 38 46 48
730862,328,05 07 14 21 23 51
730866,329,10 11 12 24 35 40
730869,330,02 04 14 23 37 51
730873,331,01 13 20 27 35 37
730876,332,23 28 29 34 42 44
730880,333,04 27 35 44 52 53
730883,334,14 23 24 26 41 51
730887,335,07 23 33 43 57 59
730890,336,02 18 22 26 30 54
730897,337,04 14 16 31 52 54
730901,338,01 04 09 36 46 48
730904,339,05 12 13 16 27 50
730908,340,09 10 12 33 42 60
730911,341,05 16 22 23 43 56
730915,342,16 29 34 49 51 54
730918,343,04 06 07 12 24 41
730922,344,10 12 14 33 35 36
730925,345,11 22 46 51 56 58
730929,346,07 12 41 46 56 60
730932,347,01 10 12 26 48 52
730936,348,19 30 33 39 40 52
730939,349,08 09 28 32 38 54
730943,350,10 15 23 30 43 57
730946,351,15 16 24 41 59 60
730950,352,07 20 25 44 47 49
730953,353,19 23 30 46 55 60
730957,354,07 16 38 40 41 52
730960,355,02 14 22 23 37 60
730964,356,05 19 21 54 56 58
730967,357,02 30 32 35 45 53
730974,358,12 17 21 32 40 42
730978,359,13 19 20 29 31 54
730981,360,23 24 29 47 53 55
730985,361,16 28 31 41 45 59
730988,362,07 20 33 37 46 56
730992,363,19 29 39 47 49 54
730995,364,05 29 44 51 57 59
730999,365,19 23 34 37 52 58
731002,366,04 06 07 15 21 51
731006,367,10 12 27 33 49 52
731009,368,13 29 32 38 44 50
731013,369,01 14 21 35 42 60
731016,370,01 04 40 42 51 54
731020,371,04 18 23 33 39 60
731023,372,16 17 24 39 46 57
731027,373,01 05 10 24 31 33
731030,374,02 05 16 26 44 54
731034,375,01 05 09 42 51 58
731037,376,10 13 25 35 43 48
731041,377,03 12 19 27 45 46
731044,378,05 38 41 45 48 55
731048,379,24 33 40 41 55 59
731051,380,13 22 30 31 47 57
731055,381,09 10 28 46 55 56
731058,382,31 34 37 38 53 54
731062,383,14 22 48 50 53 56
731065,384,24 28 40 47 50 52
731069,385,05 12 16 18 22 24
731072,386,17 35 36 39 43 54
731076,387,22 28 29 43 47 48
731079,388,23 36 48 52 53 58
731083,389,05 14 18 43 46 54
731086,390,07 12 22 34 38 53
731090,391,04 07 15 16 35 40
731093,392,15 23 31 39 47 49
731097,393,06 12 35 36 40 50
731100,394,05 15 35 42 45 49
731104,395,10 11 14 20 31 58
731107,396,06 18 34 42 45 47
731111,397,01 02 05 24 32 46
731114,398,07 16 22 28 36 37
731118,399,11 16 27 47 55 59
731121,400,10 13 28 29 54 59
731125,401,11 18 43 44 50 53
731128,402,05 16 27 43 56 58
731132,403,07 16 27 31 46 60
731135,404,01 24 28 38 40 58
731139,405,24 29 34 47 57 60
731142,406,02 12 32 38 47 48
731146,407,02 18 22 49 51 57
731149,408,14 28 33 44 49 56
731153,409,18 25 26 31 34 49
731156,410,08 24 31 36 38 55
731160,411,10 12 31 38 45 56
731163,412,05 12 14 21 45 59
731167,413,02 04 29 33 35 53
731170,414,16 26 35 45 52 58
731174,415,01 04 27 38 42 44
731177,416,01 13 23 33 54 56
731181,417,07 12 21 25 34 42
731184,418,08 15 32 45 49 52
731188,419,09 16 41 42 52 53
731191,420,12 29 30 43 57 59
731195,421,05 35 37 38 45 51
731198,422,12 37 43 55 56 60
731202,423,08 22 32 33 40 53
731205,424,18 27 29 36 46 59
731212,425,06 10 16 34 42 47
731219,426,07 30 32 37 50 54
731223,427,03 13 14 24 43 51
731226,428,08 28 30 32 46 60
731230,429,17 26 32 36 43 55
731233,430,08 10 21 25 38 50
731237,431,26 37 40 47 52 58
731240,432,04 13 17 27 39 50
731244,433,16 17 28 30 36 54
731247,434,04 10 17 24 30 54
731251,435,10 11 17 31 37 43
731254,436,01 06 07 29 48 57
731258,437,07 10 30 44 54 59
731261,438,03 05 11 14 38 48
731265,439,13 20 29 42 43 57
731268,440,03 05 23 30 46 47
731272,441,02 10 15 21 58 59
731275,442,06 15 23 31 37 59
731282,443,11 17 26 36 48 52
731286,444,03 24 33 48 52 57
731289,445,07 20 31 32 50 53
731293,446,08 11 12 17 20 47
731296,447,15 24 25 33 42 55
731300,448,03 05 09 45 51 52
731303,449,01 08 24 34 49 56
731307,450,01 09 13 50 51 59
731310,451,17 18 23 28 31 53
731314,452,11 16 30 36 51 54
731317,453,08 20 23 34 52 58
731321,454,04 17 24 42 46 56
731324,455,02 14 15 17 50 59
731328,456,03 17 22 27 33 40
731331,457,15 17 24 27 32 48
731335,458,13 24 32 34 43 53
731338,459,08 15 17 39 43 49
731342,460,19 23 30 37 49 55
731345,461,15 17 20 29 30 60
731349,462,17 19 22 26 27 48
731352,463,02 03 07 18 45 53
731356,464,06 24 33 38 45 50
731359,465,01 22 31 46 51 57
731363,466,11 16 28 29 30 45
731366,467,08 18 21 22 38 60
731370,468,05 06 23 25 39 51
731373,469,13 21 26 29 42 47
731377,470,08 11 23 37 51 58
731380,471,05 31 32 36 51 59
731384,472,03 04 12 29 38 51
731387,473,07 23 41 49 51 58
731391,474,03 12 32 34 40 50
731394,475,06 08 19 22 43 52
731398,476,17 20 38 43 55 58
731401,477,06 08 18 34 38 47
731405,478,03 08 21 25 30 31
731408,479,20 26 41 46 54 58
731412,480,14 33 36 38 41 49
731415,481,06 13 22 24 42 44
731419,482,12 13 33 53 54 56
731422,483,16 18 23 35 44 59
731426,484,17 18 19 38 49 53
731429,485,19 28 30 38 52 57
731433,486,08 14 19 30 42 50
731436,487,08 22 25 48 52 54
731440,488,15 30 35 39 43 57
731443,489,17 28 33 36 53 59
731447,490,05 11 23 29 54 58
731450,491,01 09 15 22 43 55
731454,492,02 06 15 18 56 57
731457,493,03 18 20 24 42 54
731461,494,18 20 28 32 49 53
731464,495,08 15 29 36 49 60
731468,496,10 19 20 29 41 59
731471,497,09 13 20 32 41 58
731475,498,02 06 28 49 50 57
731478,499,01 04 05 11 44 59
731485,500,21 29 35 36 38 54
731489,501,16 27 28 34 39 56
731492,502,07 13 21 24 33 50
731496,503,07 10 21 27 48 49
731499,504,08 11 19 30 39 50
731503,505,03 20 28 46 47 52
731506,506,04 15 31 34 37 38
731510,507,03 05 27 33 44 58
731513,508,05 10 15 45 46 56
731517,509,28 32 33 34 35 55
731520,510,01 04 30 41 45 58
731524,511,03 04 08 34 36 37
731527,512,04 08 31 40 53 58
731531,513,10 19 27 33 39 46
731534,514,15 36 40 42 51 52
731538,515,15 16 39 45 48 57
731541,516,05 13 24 33 34 35
731545,517,07 08 28 32 38 51
731548,518,05 08 10 15 18 44
731552,519,09 15 19 22 36 42
731555,520,09 12 17 32 34 35
731559,521,15 25 28 32 38 45
731562,522,06 14 15 25 49 52
731566,523,28 39 40 44 45 58
731569,524,19 29 34 41 47 48
731576,525,08 10 24 26 32 49
731583,526,03 21 31 36 55 59
731587,527,06 14 17 26 50 52
731590,528,08 12 28 31 34 37
731594,529,01 13 33 38 45 56
731597,530,01 06 21 25 32 49
731601,531,01 03 07 18 35 50
731604,532,04 09 12 13 52 53
731608,533,13 18 21 27 53 59
731611,534,03 08 23 31 48 57
731615,535,06 14 28 47 49 56
731618,536,14 15 22 23 25 37
731622,537,03 07 19 34 37 39
731625,538,03 25 43 45 52 56
731629,539,06 16 19 47 50 55
731632,540,04 22 28 30 44 49
731639,541,13 27 49 52 57 58
731643,542,04 06 19 28 35 49
731646,543,35 37 42 46 49 54
731650,544,11 17 33 34 47 56
731653,545,17 29 35 40 43 57
731657,546,04 05 13 17 46 54
731660,547,04 13 28 30 53 59
731664,548,14 47 49 51 58 59
731667,549,08 13 22 46 51 58
731671,550,16 17 38 39 45 56
731674,551,12 21 46 48 56 57
731678,552,09 22 47 49 52 54
731681,553,04 43 46 53 54 58
731685,554,15 29 31 42 47 60
731688,555,05 23 31 33 45 49
731692,556,08 10 17 30 33 45
731695,557,08 12 18 23 38 49
731699,558,07 14 31 57 58 59
731702,559,06 13 17 25 36 53
731706,560,02 11 18 30 32 58
731709,561,01 20 36 39 49 55
731713,562,16 23 35 37 55 57
731716,563,05 08 23 34 44 51
731720,564,10 13 20 32 38 49
731723,565,07 31 34 35 37 45
731727,566,06 13 17 18 20 37
731730,567,11 31 38 41 57 58
731734,568,13 17 22 25 29 41
731737,569,03 09 14 15 32 57
731741,570,15 32 33 35 36 51
731744,571,12 13 14 31 50 51
731748,572,03 09 16 20 33 60
731751,573,06 17 22 29 40 59
731755,574,02 10 17 23 32 44
731758,575,05 18 21 29 35 48
731762,576,07 08 18 39 43 52
731765,577,08 23 24 28 31 47
731769,578,03 18 23 48 56 58
731772,579,04 09 15 17 34 39
731776,580,15 16 18 28 38 47
731779,581,14 17 25 30 39 52
731783,582,13 29 40 45 51 59
731786,583,06 07 20 41 43 55
731790,584,07 08 23 30 32 53
731793,585,12 24 33 36 39 57
731797,586,11 13 38 39 45 54
731800,587,02 18 29 30 36 60
731804,588,11 13 45 46 53 55
731807,589,06 07 08 13 33 59
731811,590,04 05 18 25 28 51
731814,591,01 03 18 34 50 58
731818,592,13 14 42 47 55 59
731821,593,01 25 27 29 49 59
731825,594,10 13 29 47 53 55
731828,595,01 02 25 43 50 54
731832,596,11 14 28 43 54 60
731835,597,22 27 29 40 42 56
731839,598,05 16 34 38 50 53
731842,599,04 06 09 23 45 51
731846,600,16 18 31 34 39 54
731849,601,10 19 22 29 30 37
731853,602,07 13 38 46 55 60
731856,603,04 08 11 12 29 44
731860,604,15 25 41 46 49 51
731863,605,04 24 44 49 52 53
731867,606,06 23 32 35 41 55
731870,607,06 11 19 27 41 59
731874,608,06 13 19 24 30 37
731877,609,02 06 15 58 59 60
731881,610,25 30 43 45 47 49
731884,611,16 21 22 33 48 49
731888,612,15 18 33 50 53 55
731891,613,06 13 19 44 54 55
731895,614,12 16 31 48 57 60
731898,615,05 08 10 27 31 51
731902,616,02 12 16 24 26 54
731905,617,03 05 25 33 36 49
731909,618,03 08 10 13 24 60
731912,619,08 12 14 16 19 46
731916,620,01 03 13 22 29 32
731919,621,26 29 31 49 50 57
731923,622,19 27 29 38 50 59
731926,623,09 23 30 42 49 55
731930,624,08 23 34 39 43 52
731933,625,12 24 32 40 42 59
731937,626,07 08 18 22 39 49
731944,627,01 13 19 45 56 58
731951,628,08 16 22 30 56 58
731954,629,15 16 39 40 47 51
731958,630,12 16 20 45 53 60
731961,631,01 20 28 32 44 47
731965,632,02 19 28 48 51 54
731968,633,05 11 22 27 46 50
731972,634,10 13 24 41 42 56
731975,635,08 20 26 37 42 49
731979,636,26 28 30 32 34 50
731982,637,11 18 43 48 52 58
731989,638,10 11 36 41 42 50
731993,639,13 35 39 45 51 60
731996,640,12 19 42 46 59 60
732000,641,01 09 13 17 33 34
732003,642,17 36 40 44 51 56
732007,643,14 24 37 40 42 45
732010,644,14 27 29 31 34 57
732014,645,03 24 48 52 53 54
732017,646,10 13 32 47 49 60
732021,647,11 12 14 19 54 56
732024,648,05 23 29 42 45 48
732028,649,09 24 33 41 48 54
732031,650,10 24 25 29 53 59
732035,651,26 28 39 45 48 60
732038,652,10 18 20 24 56 57
732042,653,05 09 19 24 31 34
732045,654,06 10 11 40 41 56
732049,655,01 26 37 39 43 48
732052,656,35 36 37 46 51 59
732056,657,16 20 33 58 59 60
732059,658,03 06 11 20 36 41
732063,659,14 29 34 40 51 52
732066,660,05 11 38 46 53 54
732070,661,04 27 36 40 42 55
732073,662,04 18 23 25 56 60
732077,663,01 27 30 49 51 55
732080,664,01 12 36 38 55 59
732084,665,07 08 18 25 47 48
732087,666,07 16 26 29 45 55
732091,667,01 04 05 16 23 49
732094,668,01 02 14 33 49 56
732098,669,07 24 27 40 41 49
732101,670,22 37 42 48 58 59
732105,671,09 16 27 38 39 51
732108,672,24 28 34 38 43 53
732112,673,06 11 20 34 37 40
732115,674,18 22 29 32 38 42
732119,675,24 25 30 42 43 50
732122,676,09 15 32 41 42 49
732126,677,08 10 25 32 48 55
732129,678,14 31 40 42 44 46
732133,679,03 21 25 37 54 58
732136,680,02 03 05 22 26 44
732140,681,21 25 38 53 58 59
732143,682,04 27 36 37 47 60
732147,683,02 11 12 35 40 43
732150,684,17 19 33 37 40 50
732154,685,05 12 27 33 43 56
732157,686,04 05 15 26 33 54
732161,687,01 07 14 41 48 59
732164,688,11 21 30 35 47 52
732168,689,06 07 31 49 51 60
732171,690,08 12 15 41 47 53
732175,691,08 16 37 50 55 58
732178,692,11 18 33 57 58 60
732182,693,13 14 17 31 41 50
732185,694,15 19 29 37 41 53
732189,695,06 11 13 21 40 52
732192,696,09 16 34 37 53 57
732199,697,28 31 32 35 51 53
732203,698,08 12 22 27 43 55
732208,699,17 23 48 50 53 54
732210,700,02 03 14 24 31 40
732213,701,01 13 23 31 48 60
732217,702,01 18 45 56 57 58
732220,703,02 11 24 27 30 45
732224,704,02 04 18 27 34 50
732227,705,03 11 13 15 26 43
732234,706,02 07 10 17 22 60
732238,707,01 08 10 36 43 51
732241,708,07 09 13 39 45 47
732245,709,04 06 09 22 29 44
732248,710,05 25 34 39 46 49
732255,711,05 10 33 40 41 59
732259,712,07 08 35 43 53 58
732262,713,01 12 16 26 46 54
732266,714,07 08 17 35 39 53
732269,715,04 12 24 33 36 54
732273,716,02 07 16 29 32 50
732276,717,06 17 23 28 35 41
732280,718,07 21 33 35 39 58
732283,719,03 32 37 39 47 53
732287,720,12 31 44 51 54 56
732290,721,03 14 23 25 36 55
732294,722,09 18 36 44 57 60
732297,723,01 06 16 36 50 52
732301,724,17 27 34 48 51 55
732311,725,03 09 35 37 41 49
732315,726,01 05 07 37 40 47
732318,727,04 12 14 30 42 59
732322,728,08 13 24 32 42 44
732325,729,05 18 33 43 56 57
732329,730,02 15 16 45 50 54
732332,731,06 15 16 23 28 35
732336,732,06 17 19 49 50 53
732339,733,02 12 26 31 43 46
732343,734,27 29 43 44 45 54
732346,735,09 15 38 40 42 52
732350,736,01 21 38 41 49 56
732353,737,11 12 24 32 33 38
732357,738,14 15 26 30 42 54
732360,739,06 10 35 45 49 56
732364,740,12 16 28 29 47 50
732367,741,24 26 27 36 39 59
732371,742,02 07 17 34 41 50
732374,743,20 23 25 32 54 60
732378,744,04 12 23 26 39 46
732381,745,02 16 21 37 43 57
732385,746,01 10 12 25 49 57
732388,747,02 03 12 21 23 56
732392,748,01 02 07 19 35 51
732395,749,04 24 47 48 50 57
732399,750,10 17 33 42 54 58
732402,751,04 07 20 25 38 50
732406,752,04 23 24 25 29 42
732409,753,02 07 22 35 43 59
732413,754,03 04 13 34 42 50
732416,755,04 12 30 47 49 59
732420,756,05 27 37 38 41 50
732423,757,12 17 18 30 32 58
732427,758,01 23 36 43 47 59
732430,759,30 31 39 45 48 59
732434,760,12 17 44 45 46 60
732437,761,13 17 27 29 40 56
732441,762,09 12 21 37 39 54
732444,763,01 09 26 40 47 48
732449,764,03 07 45 47 53 55
732452,765,03 10 16 30 37 50
732455,766,01 19 24 42 50 58
732458,767,15 22 32 38 50 54
732462,768,04 08 30 33 37 59
732465,769,12 16 20 21 29 50
732469,770,04 12 25 34 35 48
732472,771,14 21 29 34 46 47
732476,772,10 35 38 51 52 60
732479,773,03 05 14 29 34 51
732483,774,05 10 37 46 54 58
732486,775,12 27 42 46 47 50
732490,776,03 15 35 41 57 60
732493,777,02 14 23 28 50 56
732497,778,20 31 36 37 45 51
732500,779,25 26 29 36 52 54
732504,780,07 10 28 50 51 59
732507,781,08 10 13 39 54 56
732511,782,02 11 23 35 42 59
732514,783,04 08 21 32 43 48
732518,784,08 27 37 42 53 56
732521,785,05 08 17 35 37 48
732525,786,10 11 26 27 31 41
732528,787,20 31 34 37 54 60
732532,788,17 19 29 31 44 57
732535,789,06 31 38 39 50 60
732539,790,02 06 19 22 28 43
732542,791,09 14 19 35 42 58
732546,792,09 29 34 43 45 56
732549,793,03 15 16 33 51 57
732553,794,03 38 42 47 55 56
732556,795,14 21 26 29 36 48
732560,796,05 19 24 34 39 43
732563,797,06 12 47 48 52 58
732567,798,03 04 09 29 32 52
732570,799,19 29 35 42 55 57
732574,800,01 07 11 37 38 56
732577,801,11 19 20 22 42 48
732581,802,06 14 18 24 48 60
732584,803,03 05 10 21 28 57
732588,804,03 13 37 47 56 59
732591,805,02 30 36 43 48 60
732596,806,18 26 35 41 47 60
732598,807,02 08 27 32 49 56
732602,808,02 15 21 31 46 57
732605,809,05 11 15 23 25 30
732609,810,01 04 05 33 37 48
732612,811,10 28 32 41 47 57
732616,812,11 13 38 39 54 57
732619,813,09 15 23 45 46 56
732623,814,02 08 11 41 46 50
732626,815,09 19 37 39 50 57
732631,816,20 21 30 40 47 52
732633,817,10 29 30 34 43 52
732637,818,08 09 22 25 41 44
732640,819,05 19 25 46 51 58
732644,820,10 17 21 32 45 46
732647,821,04 29 33 36 38 42
